ChannelNumber,LowEnd,UpEnd
2,54,60
3,60,66
4,66,72
5,76,82
6,82,88
7,174,180
8,180,186
9,186,192
10,192,198
11,198,204
12,204,210
13,210,216
14,470,476
15,476,482
16,482,488
17,488,494
18,494,500
19,500,506
20,506,512
21,512,518
22,518,524
23,524,530
24,530,536
25,536,542
26,542,548
27,548,554
28,554,560
29,560,566
30,566,572
31,572,578
32,578,584
33,584,590
34,590,596
35,596,602
36,602,608
37,608,614
38,614,620
39,620,626
40,626,632
41,632,638
42,638,644
43,644,650
44,650,656
45,656,662
46,662,668
47,668,674
48,674,680
49,680,686
50,686,692
51,692,698
52,698,704
53,704,710
54,710,716
55,716,722
56,722,728
57,728,734
58,734,740
59,740,746
60,746,752
61,752,758
62,758,764
63,764,770
64,770,776
65,776,782
66,782,788
67,788,794
68,794,800
69,800,806
