ChannelNumber,LowEnd,UpEnd
21,471.25,477.25
22,479.25,485.25
23,487.25,493.25
24,495.25,501.25
25,503.25,509.25
26,511.25,517.25
27,519.25,525.25
28,527.25,533.25
29,535.25,541.25
30,543.25,549.25
31,551.25,557.25
32,559.25,565.25
33,567.25,573.25
34,575.25,581.25
35,583.25,589.25
36,591.25,597.25
37,599.25,605.25
38,607.25,613.25
39,615.25,621.25
40,623.25,629.25
41,631.25,637.25
42,639.25,645.25
43,647.25,653.25
44,655.25,661.25
45,663.25,669.25
46,671.25,677.25
47,679.25,685.25
48,687.25,693.25
49,695.25,701.25
50,703.25,709.25
51,711.25,717.25
52,719.25,725.25
53,727.25,733.25
54,735.25,741.25
55,743.25,749.25
56,751.25,757.25
57,759.25,765.25
58,767.25,773.25
59,775.25,781.25
60,783.25,789.25
61,791.25,797.25
62,799.25,805.25
63,807.25,813.25
64,815.25,821.25
65,823.25,829.25
66,831.25,837.25
67,839.25,845.25
68,847.25,853.25
69,855.25,861.25
